id	filename	md5	size	state
052cc058-79ae-4db5-9e89-39d6b79f7838	TCGA-KL-8346-01Z-00-DX1.af2fc9c2-98b7-471f-9777-08c7cc8c734e.svs	70950f3039a36c1b3482432852cfeceb	1177329982	validated
05ccdfff-e1a4-4cf3-8952-106f19131376	TCGA-F9-A8NY-01Z-00-DX1.37B2C4DC-A40B-4751-9A86-679045AA07B1.svs	59330404cdc91a19ae53013b30ffceff	1630150783	validated
0631c817-a7b4-4906-a06c-a140dbb5d0ea	TCGA-KM-A7QH-01Z-00-DX1.8CBB8760-A00D-4289-AD09-959FEC2EC03C.svs	bca31aa8aa7ba96d13e8d64d9d06c5b0	629158787	validated
063e209c-520a-4973-bfd4-c7dc0cf2bee2	TCGA-AK-3451-01Z-00-DX1.1CC3099A-F2E1-43D6-B9AC-8DC640ABB014.svs	53302c65ff7d81d9f504efff3a413f43	667326893	validated
0653a835-eae8-4ac9-a1f7-183b5f715042	TCGA-AK-3431-01Z-00-DX1.5D6F4225-F46D-4368-969F-64652FB0DDA9.svs	92ba8303ea7ced8feb81278373635bc5	1239680303	validated
06b3bc24-f04f-4f7b-a0cd-fae4066918e6	TCGA-CZ-5467-01Z-00-DX1.49822621-96d1-437d-8212-0f8561a6df82.svs	8f70bbcdb1a6c576547f1582df0d250a	1664437039	validated
072d1cd1-c0fc-4435-b782-e313800786c6	TCGA-BP-4982-01Z-00-DX1.c2a2e876-e500-412f-b937-30a3824af803.svs	973615751b61f384d91a573ab841a0f6	1204801890	validated
07bae418-d76e-42af-b0d0-4c8ec962f8bd	TCGA-DW-7837-01Z-00-DX1.94DDB53B-5B3C-4CF5-B421-32661EE2F8CE.svs	811eefbeee10de9b0e88879f748bd542	599431555	validated
07db027d-0e59-41fe-b28e-d7dd1250c9fd	TCGA-CZ-5470-01Z-00-DX1.5d2b135c-a5e2-4e8a-a8bc-068239738f24.svs	af66e2dfd8575e3c1013c5ede37b67a2	1500187375	validated
0809316b-6bd3-4aeb-8e93-a197a4154ed8	TCGA-BP-5187-01Z-00-DX1.638c8e8b-090f-4312-89ad-92ccfc1eaa7b.svs	61aaad13fee7a8c95cfbccde412b2a22	715120104	validated
0841e1af-4eae-4bc9-b6aa-98738f70748a	TCGA-B0-5100-01Z-00-DX1.52baec4e-41bf-4ddc-ac0d-8058f8078018.svs	f282bf9ceb279631b7033a6bb3145953	844097507	validated
